Codigo	Tipo Equipo	Familia	Marca	Modelo	Año	Ubicacion	Control Base	Frecuencia Base	Promedio Diario	Ultima Fecha Lectura	Ultimo Horometro	Ultimo Kilometraje	Lectura Actual	Ultima Fecha PM	Ultima PM	Ultima Lectura PM	Costo Mantenciones CLP	Costo Compras PM CLP	Costo Total PM CLP	Estado Operacional	Estado CMMS	Dias a Proxima Mantencion	Fecha Est. Proxima Mantencion	Fecha Compra PM	Fecha Salida Bodega	Tiempo Compra → Mantención	Tiempo Bodega → Mantención	Estado Bodega → Mantención	Estado Operativo Real	Prioridad Taller	Acción Sugerida
CD-100	Camión Slurry	Camiones de Ruta	Volkswagen	26220	2008		HORAS	250	16,5	02-12-2025	28522	0,00	28522,00	01-04-2026	2882,00	2882	$0	$199.256	$199.256	Operativo	ATRASADA	-25390	28-05-1956	04-03-2026	01-04-2026	28	0	CERRADO	OPERATIVO	BAJA	Monitorear próximo vencimiento
CD-102	Camión Tolva	Camiones de Ruta	Man	TGS 50480	2018	Quirihue	HORAS	250	3,6	20-04-2026	10496	262575,00	10496,00	13-04-2026	10400,00	10400	$0	$0	$0	Operativo	AL DÍA	154	21-09-2026					SIN SALIDA BODEGA	OPERATIVO	BAJA	Monitorear próximo vencimiento
CD-103	Camión Tolva	Camiones de Ruta	Man	TGS 50480	2018		HORAS	250	0	10-05-2023	5327	126893,00	5327,00	00-01-1900	Sin datos de mantención registrado	Sin datos de mantención registrado	$0	$63.431	$63.431	Fuera de Servicio	FUERA DE SERVICIO			16-02-2026		80		SIN SALIDA BODEGA	FUERA DE SERVICIO	NO APLICA	No programar compra
CD-104	Camión Tolva	Camiones de Ruta	Man	TGS 50480	2019		HORAS	250	5,6	02-04-2026	10709	261250,00	10709,00	07-02-2026	Sin datos de mantención registrado	Sin datos de mantención registrado	$0	$63.431	$63.431	Operativo	AL DÍA			16-02-2026	07-02-2026	0	0	CERRADO	OPERATIVO	BAJA	Monitorear próximo vencimiento
CD-105	Camión Tolva	Camiones de Ruta	Man	TGS 50480	2018	Palmucho	HORAS	250	3,7	26-03-2026	10623	257067,00	10623,00	15-04-2026	10738,00	10738	$0	$63.431	$63.431	Operativo	AL DÍA	365	26-03-2027	16-02-2026	24-03-2026	58	22	CERRADO	OPERATIVO	BAJA	Monitorear próximo vencimiento
CD-106	Camión Tolva	Camiones de Ruta	Man	TGS 50480	2019		HORAS	250	0,2	24-03-2026	8345	250115,00	8345,00	22-01-2026	8319,00	8319	$0	$0	$0	Operativo	AL DÍA	224	03-11-2026					SIN SALIDA BODEGA	OPERATIVO	BAJA	Monitorear próximo vencimiento
CD-107	Camión Tolva	Camiones de Ruta	Man	TGS 50480	2019	San Nicolas	HORAS	250	4	11-03-2026	10923	126301,00	10923,00	11-03-2026	10923,00	10923	$0	$2.574.331	$2.574.331	Operativo	AL DÍA	250	16-11-2026	16-02-2026	03-03-2026	23	8	CERRADO	OPERATIVO	BAJA	Monitorear próximo vencimiento
CD-108	Camión Slurry	Camiones de Ruta	International	7600	2008		KM	250	445,3	26-03-2026	0	98639,00	48763,00	00-01-1900	Sin datos de mantención registrado	Sin datos de mantención registrado	$0	$429.968	$429.968	Operativo	EN PROCESO			16-04-2026		21		SIN SALIDA BODEGA	EN PROCESO	SEGUIMIENTO	Hacer seguimiento al taller y cerrar report
CD-109	Camión Plano	Camiones de Ruta	Hino	XZU 6.5 DCAB	2012	Palmucho	KM	10000	44	25-03-2026	0	190409,00	190409,00	12-03-2026	189849,00	189849	$0	$170.433	$170.433	Operativo	AL DÍA	9440	28-01-2052	12-03-2026	10-03-2026	0	2	CERRADO	OPERATIVO	BAJA	Monitorear próximo vencimiento
CD-110	Camión Plano	Camiones de Ruta	Jac	Urban HFC1050K	2015	Cobquecura	KM	10000	67,1	30-03-2026	0	275886,00	275886,00	24-03-2026	275548,00	275548	$0	$21.301	$21.301	Operativo	AL DÍA	9662	11-09-2052	23-02-2026	20-03-2026	29	4	CERRADO	OPERATIVO	BAJA	Monitorear próximo vencimiento
