COMPRAS PM (EDITABLE)							
							
Fecha	OC	Codigo	Descripcion	Proveedor	Costo PM CLP	Regla	Estado OC
12-02-2026	DEMO-02-7629	CD-69	FILTRO COMBUSTIBLE CD-69	DISTRIBUIDORA SOS FILTROS SpA	 $16.422,00 	Directo Equipo	OC Cancelada
12-02-2026	DEMO-02-7633		SC-2-6076 KIT FILTROS PEUGEOT	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $322.014,00 	Preventivo sin equipo	OC Aprobada
16-02-2026	DEMO-02-7642		SC-02-6084 KIT DE FILTROS MANTENCIO	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $22.000,00 	Prorrateo MAN	OC Cancelada
16-02-2026	DEMO-02-7642	CD-103	SC-02-6084 KIT DE FILTROS MANTENCIO	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $22.000,00 	Prorrateo MAN	OC Cancelada
16-02-2026	DEMO-02-7642	CD-104	SC-02-6084 KIT DE FILTROS MANTENCIO	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $22.000,00 	Prorrateo MAN	OC Cancelada
16-02-2026	DEMO-02-7642	CD-105	SC-02-6084 KIT DE FILTROS MANTENCIO	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $22.000,00 	Prorrateo MAN	OC Cancelada
16-02-2026	DEMO-02-7642		SC-02-6084 KIT DE FILTROS MANTENCIO	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $22.000,00 	Prorrateo MAN	OC Cancelada
16-02-2026	DEMO-02-7642	CD-107	SC-02-6084 KIT DE FILTROS MANTENCIO	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $22.000,00 	Prorrateo MAN	OC Cancelada
16-02-2026	DEMO-02-7642	CD-120	SC-02-6084 KIT DE FILTROS MANTENCIO	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $22.000,00 	Prorrateo MAN	OC Cancelada
16-02-2026	DEMO-02-7642	CD-121	SC-02-6084 KIT DE FILTROS MANTENCIO	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $22.000,00 	Prorrateo MAN	OC Cancelada
16-02-2026	DEMO-02-7642	CD-122	SC-02-6084 KIT DE FILTROS MANTENCIO	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $22.000,00 	Prorrateo MAN	OC Cancelada
16-02-2026	DEMO-02-7642	CD-123	SC-02-6084 KIT DE FILTROS MANTENCIO	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $22.000,00 	Prorrateo MAN	OC Cancelada
