Código interno	Placa	Tipo de equipo	Marca	Modelo	Año	N° Chasis	N° Motor
CD-100	BGPG-36	Camión Slurry	Volkswagen	26220	2008	"	9BW4782U98R809005"	"	30581677"
CD-102	KRPH-70	Camión Tolva	Man	TGS 50480	2018	"	WMA39WZZ1JP106427"	51550440095041
CD-103	KRPH-69	Camión Tolva	Man	TGS 50480	2018	"	WMA39WZZ3JP106235"	"	51550392845041"
CD-104	KWSG-16	Camión Tolva	Man	TGS 50480	2019	WMA39WZZ6JP106360	51550421165041
CD-105	KSPW-23	Camión Tolva	Man	TGS 50480	2018	WMA39WZZ0JP106175	"	51550392185041"
CD-106	KVLB-16	Camión Tolva	Man	TGS 50480	2019	WMA39WZZ6JP106343	"	51550413135041"
CD-107	KVLB-17	Camión Tolva	Man	TGS 50480	2019	WMA39WZZ2JP106310	"	51550402825041"
CD-108	BKYH-42	Camión Slurry	International	7600	2008	"	1HTWYAHTX9J060028"	"	35224787"
CD-109	DXZT-44	Camión Plano	Hino	XZU 6.5 DCAB	2012	"	JHHMCP3H9CK003407"	"	N04CUV11749"
CD-110	HBSK-23	Camión Plano	Jac	Urban HFC1050K	2015	"	LJ11PDB6G6000022"	"	E4052844"
CD-111	XG-9684	Camión Plano	Mercedes Benz	Atego 1315 48	2007	9BM9580248B538561	904966U0730988
CD-112	Sin patente	Camión Pintura	No hay info	No hay info	No hay info	No hay Info	No hay info
CD-113	DBVW-59	Camión Imprimador	Volkswagen	17180M	2011	"	9533182T1BR131772"	"	G1T130182"
CD-114	SD7562	Camión Imprimador	Freightliner	M2 112	1998	1FV6JLBB3WH955445	45620018
CD-115	CYZV-93	Tracto Camión	Mercedes Benz	LS 1634 45	2011	9BM695053BB767227	"	457914U0956513"
CD-116	DWFJ-50	Camión Plano	Wolkswagen	9150E	2012	"	9533A52RXCR235357"	"	36370191"
CD-117	Sin patente	Camión Slurry	No hay info	No hay info	No hay info	No hay Info	No hay info
CD-118	CFZB-91	Camión Plano	Freightliner	M2 106	2010	1FVACYDJ5AHAN9309	"	92692800779060"
CD-119	FHFH-67	Camión Combustible	Hino	GH8JMTA	2013	"	JHDGH8JMTDXX10065"	J08EUB13646
CD-120	TCXR-54	Camión Tolva	Man	TGS 40400 BB	2024	"	WMA34EZZ8PM917239"	"	50565201356520"
CD-121	TCXR-55	Camión Tolva	Man	TGS 40400 BB	2024	"	WMA34EZZ2PM917799"	50565261276520
CD-122	TCXP-96	Camión Tolva	Man	TGS 40400 BB	2024	"	WMA34EZZ2PM917821"	"	50565270706520"
CD-123	TCXR-51	Camión Tolva	Man	TGS 40400 BB	2024	WMA34EZZ8PM918326	"	50565322086529"
CD-124	TCXP-93	Camión Tolva	Man	TGS 40400 BB	2024	"	WMA34EZZ1PM917194"	50565200626520
CD-125	SSXT-74	Camión Maxus	Maxus	C35 2.0	2023	LSH14B4C1ND104232	A5G22000421
CD-126	SSXV-16	Camión Maxus	Maxus	C35 2.0	2023	LSH14B4C2ND104224	"	A5G22000424"
CD-127	DKSG-85	Camión Pluma	International	4300	2012	"	3HAMMAAR0CL614137"	"	470HM2U1585383"
CD-128	DWTF-64	Camión slurry	Mack	GU 813	2012	1M2AX18C0CM019077	"	MP8-983724"
CD-129	DHZP-34	Camión Aljibe	Mack	GU 813	2012	1M2AX18C2CM015984	"	965208"
CD-130	RCDD-19	Camión Tolva	Renault	K480	2021	"	VF631S356MD000850"	"	2068969"
CD-131	RCDD-13	Camión Tolva	Renault	K480	2021	"	VF631S350MD000830"	2066795
CD-132	RHCT-30	Camión Tolva	Renault	K480	2021	VF631S354MD000880	"	2075492"
CD-133	CDGH-31	Camión Plano	International	7400	2010	"	3HTWGADT09N119271"	"	1543211"
CD-134	DKSG-84	Camión Plano	International	4300	2012	3HAMMAAR9CL614136	"	470HM2U1585381"
CD-135	GGWC-75	Camión Plano	Mack	GU 813	2014	1M2AX16C6EM027137	"	MP8 1046751"
CD-136	GXBG-91	Camión Combustible	Hino	HZU	2015	"	JHHYCPOH9FK009055"	"	N04C UV19521"
CD-137	FYTF-46	Tracto Camión	Mercedes Benz	Axor 1936	2014	WDB944032DL705690	"	45794800250691"
CD-138	Sin patente	Camion Imprimador	Sterling	L7500			
CD-139	CXPP-68	Camion Plano	Mercedes Benz	Atego 1015	2011	WDB9700451L507727	90491600862316
CD-140	DDBF-73	Camion Plano	Mercedes Benz	915 C 37	2011	9BM979046BB749173	904970U0907484
CD-141	PK4718	Camion Mixer	Mack	DM 690S	1997	"	DM690S-20265"	"	EM73006N0171"
CD-142	ZV6112	Camion Mixer	Freightliner	FLD 112	2006	3ALHAEA8X6DW27455	35137337
CD-51	CVDT-92-4	Camión Combustible	Hino	XZU 8.0	2011	"	JHFUT11H5BK002908"	N04C TT22347
CD-57	DWFR-85	Camión Plano	Hino	XZUDCAB	2012	JHHMCP3H1CKL002297	"	N04C UV11071"
CD-68	BTCY-63	Camión Aljibe	Mack	GU 813	2008	1M2AX18C89M005291	916243
CD-69	KLVY-31	Tracto Camión	Scania	P400A	2018	9BSP6X400K3923937	"	8313595"
CD-71	BDZL-50	Camión Aljibe	Mack	GU 813	2008	1M2AX18C59M005085	"	915248"
CD-73	GTHK-16	Camión Aljibe	Mack	GU 813	2014	"	1M2AX16C0FM028157"	"	MP8 1059223"
CD-74	CSTY-54	Tracto Camión	Renault	Premium Lander	2011	VF625KPA000001053	179976
CD-80	DRDL-86	Camión Pluma	International	7600	2012	No Disponible	"	35292633"
CD-86	CKDK-40-0	Camión Aljibe	Kenworth	T800	2010	"	277477"	"	79416020"
CD-87	LTKJ-37-9	Camión Tolva	Man	TGS 40400 BB	2020	"	WMA34WZZ1KM802478"	"	50551592085162"
CD-88	LTKJ-38-7	Camión Tolva	Man	TGS 40400 BB	2020	"	WMA34WZZ3KM802501"	50551593065162
CD-89	LTKJ-39-5	Camión Tolva	Man	TGS 40400 BB	2020	"	WMA34WZZ8KM802509"	"	50551593185162"
CD-90	LVHG-34-5	Camión Tolva	Man	TGS 40400 BB	2020	"	WMA34WZZ9KM802485"	"	50551592205162"
CD-91	LTKJ-40-9	Camión Tolva	Man	TGS 40400 BB	2020	WMA34WZZ8KM802493	"	50551592885162"
