MANTENCIONES (EDITABLE)									
									
Fecha	Codigo	Tipo Mantencion	Lectura	EsPM	Folio	Lugar	Proveedor	 Costo Mantencion CLP 	Estado
06-11-2025	MD-57	Mantencion 250Hrs	13469	Sí	15910				Finalizada
24-10-2025	MD-83	Mantencion 250Hrs	7636	Sí	15906				Finalizada
06-11-2025	MD-68	Mantencion 250Hrs	3240	Sí	15908				Finalizada
20-01-2026	MD-83	Mantencion 250Hrs	8046	Sí					Finalizada
11-11-2025	CD-88	Mantencion 250Hrs	1453	Sí	15913				Finalizada
19-11-2025	CD-102	Mantencion 300Hr	9695	Sí	15914				Finalizada
21-11-2025	MD-95	Mantencion 300Hr	1413	Sí	15178				Finalizada
24-11-2025	MD-88	Mantencion 300Hr	6327	Sí	15179				Finalizada
02-12-2025	MD-102	Mantencion 300Hr	5321	Sí	15184				Finalizada
04-12-2025	MD-94	Mantencion 300Hr	2060	Sí	15186				Finalizada
17-12-2025	VD-78	Mantencion 10mil	128090	Sí	SN				Finalizada
18-12-2025	VD-77	Mantencion *	128838	Sí	SN				Finalizada
23-12-2025	CD-97	Mantencion *	530211	Sí	SN				Finalizada
24-12-2025	CD-69	Mantencion 300Hr	461588	Sí	389				Finalizada
06-01-2026	MD-73	Mantencion *	17076	Sí	389				Finalizada
06-01-2026	CD-142	Mantencion *	331891	Sí	389				Finalizada
10-11-2025	MD-96	Mantencion *	1496	Sí	15912				Finalizada
09-01-2026	MD-109	Mantencion *	87661	Sí	389				Finalizada
12-01-2026	VD-119	Mantencion *		Sí	389				Finalizada
12-01-2026	VD-84	Mantencion 10mil	118530	Sí	SN				Finalizada
12-01-2026	ED-73	Mantencion *	681	Sí					Finalizada
08-09-2025	MD-107	Mantencion *	393	Sí	15911				Finalizada
13-01-2026	VD-91	Mantencion 10mil	105667	Sí	389				Finalizada
14-01-2026	VD-76	Mantencion 10mil	157018	Sí	389				Finalizada
06-11-2025	MD-107	Mantencion *	748	Sí	15911				Finalizada
15-01-2026	VD-95	Mantencion 15000	136208	Sí	389				Finalizada
06-11-2025	MD-100	Mantencion 300Hr	2000	Sí	15909				Finalizada
06-01-2026	MD-100	Mantencion 300Hr	2600	Sí	15920				Finalizada
13-01-2026	MD-107	Mantencion *	1112	Sí	15921				Finalizada
22-01-2026	CD-132	Mantencion *	189042	Sí					Finalizada
22-01-2026	CD-106	Mantencion	8319	Sí					Finalizada
27-01-2026	MD-75	Mantencion 300Hr		Sí	15440				Finalizada
28-01-2026	MD-101	Mantencion	9814	Sí					Finalizada
28-01-2026	VD-111	Mantencion	54500	Sí					Finalizada
04-02-2026	MD-56	Mantencion	15554	Sí					Finalizada
12-02-2026	VD-78	Mantencion 10mil	138841	Sí					Finalizada
13-02-2026	CD-87	Mantencion	9302	Sí					Finalizada
19-02-2026	VD-122	Mantencion de 10000KM	39996	Sí	16152				Finalizada
20-02-2026	VD-125	Mantencion de 10000KM	58306	Sí	Ext				Finalizada
20-02-2026	CD-69	Mantencion 300Hr	12750	Sí	15104				Finalizada
20-02-2026	VD-115	Mantencion de 10000KM	61470	Sí	15102				Finalizada
21-02-2026	VD-116	Mantencion de 10000KM	61948	Sí	15101				Finalizada
04-11-2025	VD-112	Mantencion de 10000KM	81949	Sí	389				Finalizada
21-07-2025	VD-78	Mantencion de 10000KM	110210	Sí					Finalizada
13-02-2026	MD-100	Mantencion 300Hr	2610	Sí	15961				Finalizada
02-02-2026	VD-110	Mantencion 10mil	79968	Sí	15956				Finalizada
09-02-2026	CD-102	Mantencion 300Hr		Sí	15959				Finalizada
07-02-2026	CD-104	Mantencion 300Hr		Sí	nn				Finalizada
25-02-2026	VD-29	Mantencion 10mil		Sí	nn				Finalizada
	VD-100	Mantencion 10mil	89665	Sí					Finalizada
05-03-2026	MD-26	Mantencion 250Hrs	16953	Sí					Finalizada
05-03-2026	CD-120	Mantencion 250Hrs	3406	Sí					Finalizada
04-03-2026	CD-121	Mantencion 250Hrs	3468	Sí					Finalizada
05-03-2026	CD-140	Mantencion 10000Km	295000	Sí					Finalizada
03-03-2026	CD-122	Mantencion 250Hrs	3654	Sí					Finalizada
02-03-2026	CD-88	Mantencion 250Hrs	1978	Sí					Finalizada
05-03-2026	VD-107	Mantencion 15000Km	75400	Sí		Rosselot		 $425.505,00 	Finalizada
18-02-2026	VD-112	Mantencion 15000Km	107335	Sí					Finalizada
06-03-2026	VD-102	Mantencion 15000Km	105962	Sí	105962				Finalizada
12-03-2026	VD-88	Mantencion 15000Km	123772	Sí		Palmucho			Finalizada
12-03-2026	CD-109	Mantencion 10000Km	189849	Sí		Q-61			Finalizada
11-03-2026	MD-67	Mantencion 250Hrs	3745	Sí		Q-61	COM. PUENTES DE MAULE LTDA.	 $177.476,00 	Finalizada
16-03-2026	EQP-7	Mantencion 250Hrs	15727	Sí		San Nicolas		 $866.929,00 	Finalizada
13-03-2026	VD-109	Mantencion 15000Km	107210	Sí		Rosselot		 $405.817,00 	Finalizada
13-03-2026	MD-70	Mantencion 250Hrs	13040	Sí	17151	Pelluhue	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $89.099,98 	Finalizada
17-03-2026	MD-73	Mantencion 250Hrs	17296	Sí	17155	Curico	COM. PUENTES DE MAULE LTDA.	 $289.773,33 	Finalizada
13-03-2026	MD-62	Mantencion 250Hrs	17152	Sí	17152	Curico	H.V.O. COMERCIAL Y TRANSPORTES SPA	 $277.000,00 	Finalizada
13-03-2026	MD-57	Mantencion 250Hrs	13650	Sí	17153	Curico	HD HYUNDAI INFRACORE CHILE S.A	 $125.352,00 	Finalizada
04-02-2026	MD-68	Mantencion 250Hrs	3472	Sí			COM. PUENTES DE MAULE LTDA.	 $177.476,00 	Finalizada
17-03-2026	MD-102	Mantencion 250Hrs	5648	Sí	15994	Cobquecura	COM. PUENTES DE MAULE LTDA.	 $177.476,00 	Finalizada
12-03-2026	CD-122	Mantencion 250Hrs	3694	Sí	15992	San Nicolas	UNIÓN TÉCNICA AUTOMOTRIZ LTDA.	 $231.191,00 	Finalizada
12-03-2026	MD-75	Mantencion 500Hrs	1713	Sí		Quirihue	COM. PUENTES DE MAULE LTDA.	 $133.882,14 	Finalizada
05-03-2026	VD-138	Mantencion 15000Km	14872	Sí		Kaufmann	KAUFMANN S A VEHICULOS MOTORIZADOS	 $252.383,00 	Finalizada
18-03-2026	VD-140	Mantencion 15000Km	22254	Sí		Kaufmann	KAUFMANN S A VEHICULOS MOTORIZADOS	 $310.988,00 	Finalizada
